Purchased,Discount,DaytoTravel,NoOfPassange,TravelTime,DOW,TimeOfDay,FreFlyer,ReturnTicket
YES,24,11,1,3,Monday,Early Morning,No,No
YES,19,3,5,8,Thursday,Afternoon,No,No
YES,23,14,1,9,Friday,Afternoon,No,No
YES,30,6,0,8,Monday,Early Morning,Yes,No
No,26,15,4,3,Wednesday,Forenoon,No,No
YES,26,6,4,7,Tuesday,Morning,No,No
No,25,16,1,7,Wednesday,Morning,No,No
YES,32,16,0,6,Friday,Afternoon,No,No
No,26,6,3,2,Saturday,Evening,No,Yes
No,14,3,3,2,Saturday,Evening,No,No
No,28,14,0,4,Wednesday,Forenoon,No,No
YES,23,16,0,9,Thursday,Forenoon,No,No
YES,20,14,2,5,Saturday,Evening,No,No
No,29,5,0,7,Sunday,Overnight,No,Yes
YES,23,14,4,2,Tuesday,Morning,No,No
YES,25,3,2,7,Sunday,Overnight,No,Yes
No,30,15,2,8,Wednesday,Forenoon,No,No
YES,30,3,2,9,Friday,Afternoon,No,No
No,22,2,5,1,Thursday,Forenoon,No,No
YES,28,11,4,9,Saturday,Evening,No,Yes
No,27,14,4,10,Friday,Evening,No,No
YES,22,15,3,7,Sunday,Overnight,No,Yes
No,23,6,0,3,Saturday,Evening,No,Yes
YES,26,14,0,5,Sunday,Overnight,No,Yes
No,25,13,2,5,Saturday,Evening,No,No
YES,32,13,1,8,Thursday,Afternoon,No,No
YES,22,19,0,6,Thursday,Forenoon,No,No
YES,21,13,0,1,Thursday,Afternoon,No,No
YES,19,2,5,8,Saturday,Evening,No,No
YES,19,12,4,2,Thursday,Forenoon,No,No
No,18,11,4,5,Wednesday,Forenoon,No,No
No,32,3,4,5,Friday,Afternoon,No,No
YES,22,17,2,3,Wednesday,Morning,No,No
YES,25,10,5,4,Saturday,Evening,No,No
No,26,10,1,3,Sunday,Overnight,No,Yes
YES,20,17,4,4,Saturday,Evening,No,No
YES,26,3,3,2,Friday,Evening,No,No
YES,15,16,3,9,Friday,Evening,No,No
YES,25,12,2,1,Tuesday,Morning,No,No
No,18,17,1,7,Tuesday,Morning,No,No
YES,26,20,4,4,Sunday,Overnight,No,Yes
YES,32,16,1,4,Wednesday,Forenoon,No,No
No,24,10,3,6,Tuesday,Early Morning,No,No
YES,19,6,4,3,Thursday,Afternoon,No,No
No,25,14,0,3,Thursday,Afternoon,No,No
