LimitExceeded,StepsCount,CaloriesConsumed,RoadTravelTime,PhoneCallTime,MaximumTemprature,Age,Weight
No,6360,2320,2,3,10,41,67
No,5436,2664,2,4,50,45,89
No,6639,2550,3,3,35,35,84
No,5022,2562,4,3,21,40,67
No,5730,2327,3,3,28,44,56
No,5372,2650,2,2,24,38,78
No,7166,2101,3,3,38,39,74
No,6785,3268,2,4,38,33,71
No,7283,2188,4,2,27,43,74
No,2541,2287,2,2,24,40,82
Yes,4822,2145,3,3,8,43,77
No,8218,1788,2,5,16,44,67
No,5362,2714,4,2,40,37,73
No,4829,2318,3,2,8,45,65
No,7276,2091,3,3,20,48,72
No,5976,2553,3,2,13,32,79
No,5836,2581,3,3,13,40,86
No,6597,2078,4,3,26,26,96
No,3914,2216,3,2,33,42,66
No,8378,2465,4,2,25,40,69
No,5029,2427,4,4,36,52,64
No,2510,2343,4,3,31,39,53
No,3022,2401,1,3,31,34,75
No,7368,1978,3,2,34,35,74
No,6484,2113,1,3,29,27,63
No,6086,2161,4,4,16,40,78
No,5090,2489,3,3,23,37,70
No,7422,2061,4,4,40,41,64
No,5294,2865,3,3,17,33,69
No,4583,1870,2,4,25,40,67
No,5412,2312,4,2,22,41,70
No,7536,2716,2,3,39,40,85
No,5499,2310,4,3,24,34,73
No,7760,1607,2,2,28,39,52
No,4889,2623,3,2,17,45,83
No,6349,2306,4,3,3,25,69
No,6872,1678,4,3,29,41,72
No,5773,2890,3,4,31,41,70
Yes,5778,2323,3,4,11,33,82
No,5287,2713,2,3,26,40,76
Yes,5181,2286,3,3,8,41,85
No,4536,2072,4,3,25,41,78
No,6608,2575,3,4,32,48,76
No,5447,1952,3,4,30,42,73
No,8595,2155,3,4,27,40,91
No,6916,2366,4,3,37,33,73
No,5598,2466,2,2,24,35,64
No,5648,2112,3,4,29,39,71
No,8416,2448,4,2,26,33,61
No,4363,2080,2,4,18,39,79
No,8059,1806,3,2,24,44,72
No,5786,3032,4,1,31,36,57
No,4993,2037,1,3,32,36,75
No,8625,2067,2,2,15,41,82
No,7764,2410,3,3,36,37,79
No,7612,2224,3,3,17,35,71
No,4695,2423,4,4,32,46,80
No,7227,2583,3,2,20,41,82
No,6188,2511,0,2,17,37,64
No,4523,1668,3,3,21,42,79
No,4310,2137,5,3,24,33,65
No,6627,1753,3,3,36,41,61
No,6915,2337,4,2,27,35,84
No,5905,2682,4,3,43,41,74
No,4463,2086,0,3,30,44,78
No,5191,2499,4,4,36,33,76
No,7845,1941,2,2,38,34,58
No,6896,2469,3,3,42,54,74
No,7122,2040,3,2,38,44,92
No,6004,2040,3,4,23,40,82
No,7033,1832,3,3,14,39,75
No,6016,2825,2,3,28,39,79
No,6180,2216,3,3,55,40,88
No,5157,2351,3,3,22,45,75
No,4186,2241,2,3,24,45,59
No,7073,1799,2,3,22,45,80
No,7016,1741,2,3,23,37,61
No,6970,1714,3,4,-4,39,66
No,9490,1880,4,3,38,36,92
No,5814,2412,3,3,18,41,68
No,4371,1939,3,3,30,42,78
No,4810,2630,2,2,26,33,87
No,7575,2751,3,4,24,46,75
No,4953,2912,2,2,30,30,72
No,4312,2463,3,2,16,36,65
No,5498,2831,1,2,21,45,61
No,4618,1717,4,3,34,38,61
No,5565,2375,3,5,37,35,62
No,3079,2553,1,1,25,35,80
No,2889,2758,3,3,30,41,62
No,7422,2393,4,3,17,37,65
No,4645,2204,2,3,31,42,98
No,8374,2178,3,2,26,46,65
No,7039,2172,3,2,30,40,60
No,4387,2473,4,3,21,45,68
No,5413,2298,2,3,18,39,65
No,6100,2324,4,3,22,40,88
No,6125,2448,4,3,27,47,70
No,7579,1960,5,3,22,38,82
No,6727,2557,2,3,29,39,82
No,6872,2846,4,2,35,41,72
No,6618,2146,4,3,25,47,78
Yes,4032,2368,3,3,21,43,82
No,4440,1791,2,3,29,40,69
Yes,4158,2438,4,2,27,41,82
No,8689,1857,2,4,20,44,63
No,3474,2284,4,3,25,52,60
No,7983,2765,4,3,10,51,73
No,5609,2384,3,2,38,43,85
Yes,5882,2620,3,4,-3,33,71
No,4329,1844,3,3,29,34,78
No,5060,2523,4,3,33,40,92
No,6617,2321,3,3,24,33,57
No,6070,2315,3,2,20,42,87
No,4939,2520,4,3,20,42,68
No,5215,2051,3,3,25,32,77
No,8344,1834,4,4,32,28,83
No,8667,2517,2,3,30,46,79
No,4981,2003,3,2,18,32,75
No,8028,2180,4,3,47,44,71
No,5807,2071,3,3,35,30,82
No,3970,2284,2,2,9,42,71
No,5840,2144,4,2,34,35,65
No,4702,2734,4,3,40,34,65
No,6125,2343,4,3,22,38,80
No,8404,2787,4,3,24,31,66
No,6806,2164,4,2,16,31,95
No,5235,2322,2,2,36,46,71
No,5282,2405,4,3,28,42,67
No,5229,2155,1,2,28,40,78
No,7129,2566,3,2,37,43,74
No,5147,2260,3,4,43,37,84
No,6832,2026,3,3,30,34,85
No,5673,2114,3,1,37,34,57
No,4728,2007,3,2,35,46,69
No,7717,2119,2,4,22,42,83
No,7625,2285,2,4,19,39,85
No,9092,2531,2,3,15,48,65
No,4647,2284,4,3,43,41,75
No,5564,2173,0,2,3,41,59
No,4730,2401,2,3,28,38,70
No,5829,2087,1,2,17,43,62
No,6571,2402,2,3,16,42,90
No,3590,1865,2,3,26,45,76
No,8050,2090,3,3,46,43,72
No,3579,1972,3,3,27,49,64
No,7788,2171,4,3,37,44,85
No,7409,2474,1,4,52,36,55
No,5723,2402,2,4,32,42,85
No,5360,2286,3,3,36,38,73
No,4211,2209,3,4,32,44,71
No,8741,2142,2,2,31,35,73
No,6925,2804,3,4,17,38,75
No,4981,2053,3,3,41,36,66
No,2947,1889,5,4,28,39,76
No,5492,2302,3,4,42,31,79
No,6912,2519,4,3,21,42,66
No,8937,2516,4,3,22,39,75
No,6593,2240,3,3,23,50,76
No,4089,1890,4,3,29,44,64
No,6882,2498,2,2,30,38,70
No,7621,2653,4,4,21,43,92
No,7664,2214,4,4,23,40,76
No,5839,1869,1,2,14,41,78
No,5247,1625,3,4,19,33,56
No,7798,2386,2,4,21,38,75
No,5679,2456,3,3,31,38,88
No,8337,2059,4,3,48,40,60
Yes,4656,2587,3,4,18,40,79
No,5583,2213,4,2,35,44,71
No,5015,2301,3,3,31,34,64
No,6607,2418,3,4,32,36,68
No,2900,2224,3,3,35,35,68
No,6501,2338,3,3,46,36,83
No,6543,2202,2,2,2,43,90
No,6317,2535,3,2,23,45,82
No,6468,2475,2,3,9,46,77
No,8396,2359,3,3,28,44,74
No,4841,2477,2,2,39,41,80
No,9901,2923,5,2,32,45,73
No,5466,2380,2,4,19,41,76
No,5436,2343,1,4,32,48,88
No,3466,2460,3,2,15,43,65
