"Output","minRadius","maxRadius"
"No",0.953,0.955
"No",0.93,0.984
"No",0.959,0.911
"No",0.906,0.929
"Yes",0.995,0.982
"Yes",0.966,0.941
"No",0.956,0.912
"No",0.903,0.964
"Yes",0.963,0.919
"No",0.915,0.964
"Yes",0.998,0.938
"No",0.926,0.923
"No",0.937,0.983
"Yes",0.982,0.971
"No",0.943,0.91
"Yes",0.996,0.914
"No",0.928,0.959
"No",0.946,0.903
"Yes",0.97,0.923
"Yes",0.995,0.986
"Yes",0.982,0.966
"Yes",0.971,0.945
"No",0.943,0.941
"No",0.944,0.968
"No",0.953,0.917
"Yes",1,0.948
"No",0.959,0.933
"Yes",0.974,0.932
"Yes",0.982,0.937
"No",0.959,0.935
"No",0.935,0.924
"Yes",1,0.933
"Yes",0.979,0.976
"Yes",0.98,0.967
"No",0.953,0.997
"No",0.948,0.99
"No",0.941,0.93
"Yes",0.984,0.996
"Yes",0.967,0.941
"No",0.959,0.927
"No",0.959,0.916
"No",0.958,0.955
"Yes",0.979,0.936
"No",0.96,0.952
"No",0.927,0.946
"No",0.924,0.92
"Yes",0.971,0.987
"Yes",0.991,0.931
"Yes",0.973,0.989
"Yes",0.993,0.948
"Yes",0.982,0.942
"Yes",0.973,0.921
"No",0.934,0.922
"No",0.918,0.996
"No",0.93,0.962
"Yes",0.996,0.997
"No",0.903,0.924
"Yes",0.993,0.987
"No",0.908,0.91
"Yes",0.994,0.987
"No",0.916,0.955
"No",0.921,0.945
"Yes",1,0.993
"Yes",0.978,0.968
"No",0.948,0.934
"No",0.929,0.903
"Yes",0.98,0.999
"No",0.936,0.903
"Yes",0.992,0.961
"Yes",0.968,0.915
"No",0.96,0.981
"Yes",0.986,0.967
"No",0.933,0.921
"No",0.957,0.903
"No",0.928,0.996
"No",0.904,0.908
"No",0.949,0.974
"Yes",0.991,0.915
"Yes",0.99,0.944
"Yes",0.972,0.999
"No",0.927,0.969
"No",0.958,0.952
"Yes",0.98,0.941
"Yes",0.963,0.957
"Yes",0.993,0.944
"No",0.909,0.927
"Yes",0.967,0.97
"No",0.936,0.914
"Yes",0.961,0.953
"Yes",0.969,0.996
"No",0.912,0.919
"Yes",0.98,0.908
"No",0.93,0.968
"Yes",1.001,0.952
"No",0.935,0.979
"Yes",1,0.966
"No",0.929,0.921
"Yes",0.962,0.986
"No",0.913,0.919
"No",0.92,0.945
"Yes",0.973,0.945
"No",0.945,0.931
"No",0.949,0.931
"Yes",0.984,0.928
"Yes",0.966,0.975
"Yes",0.999,0.972
"No",0.932,0.948
"Yes",0.978,0.998
"Yes",0.966,0.908
"Yes",0.973,0.98
"No",0.904,0.943
"No",0.923,0.923
"No",0.951,0.953
"Yes",0.996,0.906
"No",0.956,0.917
"No",0.931,1
"No",0.912,0.949
"Yes",0.963,0.994
"No",0.911,0.965
"Yes",0.988,0.946
"Yes",0.973,0.967
"No",0.915,0.934
"Yes",0.975,0.989
"No",0.926,0.927
"Yes",0.987,0.948
"No",0.95,0.914
"No",0.918,0.901
"No",0.903,0.973
"Yes",0.975,0.945
"No",0.931,0.954
"No",0.941,0.991
"No",0.92,0.957
"No",0.959,0.985
"No",0.954,0.969
"No",0.928,0.949
"No",0.928,0.945
"No",0.913,0.975
"Yes",0.961,0.939
"No",0.957,0.982
"Yes",0.968,0.937
"No",0.914,0.958
"Yes",0.994,0.925
"No",0.921,0.91
"No",0.932,0.909
"No",0.952,0.998
"No",0.938,0.997
"No",0.933,0.935
"No",0.929,0.943
"No",0.941,0.975
"No",0.925,0.922
"No",0.921,0.916
"No",0.96,0.907
"Yes",0.972,0.917
"Yes",0.993,0.945
"No",0.926,0.978
"No",0.901,0.94
"No",0.93,0.981
"No",0.914,0.996
"No",0.942,0.935
"No",0.903,0.978
"Yes",0.975,0.904
"No",0.935,0.97
"No",0.946,0.919
"No",0.937,0.986
"No",0.938,0.91
"No",0.912,0.965
"No",0.952,0.924
"Yes",0.997,0.961
"No",0.952,0.992
"Yes",0.992,0.939
"No",0.909,0.974
"No",0.956,0.914
"Yes",0.972,0.96
"Yes",0.976,0.902
"Yes",0.996,0.98
"Yes",0.967,0.924
"No",0.904,0.987
"No",0.928,0.931
"No",0.953,0.984
"No",0.919,0.983
"No",0.935,0.93
"No",0.911,0.964
"No",0.952,0.96
"No",0.935,0.928
"Yes",0.978,0.996
"Yes",0.998,0.957
"Yes",0.985,0.943
"No",0.938,0.922
"Yes",0.993,0.936
"No",0.912,0.934
"No",0.941,0.967
"Yes",0.962,0.991
"Yes",0.965,0.96
"No",0.905,0.939
"No",0.928,0.935
"No",0.91,0.96
"Yes",0.989,0.938
"No",0.955,0.925
"No",0.958,0.913
"No",0.934,0.981
"Yes",0.983,0.979
"No",0.925,0.993
"No",0.959,0.972
"Yes",0.977,0.95
"Yes",0.965,0.962
"Yes",0.978,0.911
"Yes",0.967,0.999
"Yes",0.997,0.99
"No",0.931,0.947
"No",0.937,0.965
"Yes",0.981,0.921
"Yes",0.986,0.963
"No",0.935,0.988
"No",0.902,0.926
"Yes",0.981,0.941
"No",0.948,0.933
"Yes",0.968,0.93
"No",0.951,0.903
"No",0.956,0.947
"Yes",0.964,0.907
"Yes",0.965,0.942
"Yes",0.993,0.989
"No",0.916,0.947
"No",0.954,0.991
"Yes",0.974,0.948
"No",0.919,0.951
"Yes",0.973,0.939
"Yes",0.993,0.929
"Yes",0.97,0.931
"No",0.937,0.947
"No",0.93,0.934
"No",0.93,0.953
"No",0.91,0.991
"No",0.944,0.936
"No",0.902,0.991
"No",0.954,0.993
"No",0.938,0.982
"Yes",0.997,0.945
"No",0.931,0.902
"Yes",0.969,0.989
"No",0.927,0.994
"Yes",0.993,0.936
"Yes",0.996,0.973
"No",0.96,0.978
"No",0.932,0.938
"Yes",0.985,0.96
"No",0.942,0.91
"No",0.959,0.99
"Yes",0.992,0.96
"Yes",0.986,0.964
"Yes",0.992,0.984
"Yes",0.966,0.983
"Yes",0.963,0.906
"No",0.936,0.986
"No",0.943,0.912
"Yes",0.994,0.994
"Yes",0.976,0.91
"No",0.937,0.959
"Yes",0.994,0.924
"No",0.929,0.927
"Yes",0.965,0.998
"Yes",0.964,0.931
"Yes",0.963,0.984
"Yes",0.968,0.915
"Yes",0.962,0.901
"Yes",0.988,0.966
"Yes",0.968,0.929
"No",0.94,0.957
"No",0.952,0.993
"Yes",0.991,1
"No",0.9,0.969
"Yes",0.965,0.956
"No",0.932,0.974
"No",0.915,0.969
"Yes",0.974,0.955
"No",0.944,0.927
"No",0.946,0.999
"Yes",0.982,0.965
"No",0.937,0.952
"Yes",0.981,0.978
"Yes",0.99,0.989
"Yes",0.965,0.901
"No",0.94,0.982
"Yes",0.983,0.993
"Yes",0.996,1
"No",0.911,0.963
"No",0.936,0.977
"No",0.9,0.935
"No",0.944,0.923
"Yes",0.994,0.941
"No",0.939,0.934
"No",0.912,0.944
"No",0.903,0.963
"Yes",0.979,0.996
"No",0.911,0.927
"Yes",0.992,0.942
"Yes",0.969,0.96
"No",0.923,0.957
"Yes",0.991,0.903
"Yes",0.969,0.963
"Yes",0.963,0.952
"No",0.942,0.948
"No",0.939,0.908
"Yes",0.997,0.969
"No",0.947,0.986
"No",0.925,1
"No",0.934,0.94
"Yes",0.99,0.908
"Yes",0.988,0.973
"Yes",0.975,0.919
"Yes",0.963,0.978
"No",0.952,0.911
"Yes",0.977,0.936
"No",0.927,0.923
"Yes",0.961,0.982
"No",0.914,0.908
"No",0.942,0.95
"No",0.939,0.92
"Yes",0.972,0.908
"No",0.952,0.97
"No",0.951,0.966
"No",0.928,0.909
"No",0.943,0.961
"Yes",0.97,0.926
"No",0.923,0.966
"Yes",0.966,0.982
"Yes",0.998,0.92
"No",0.913,0.991
"Yes",0.976,0.955
"Yes",0.986,0.928
"No",0.949,0.96
"No",0.955,0.958
"Yes",1.001,0.952
"Yes",0.962,0.995
"Yes",0.984,0.995
"Yes",0.99,0.964
"Yes",0.993,0.911
"No",0.923,0.902
"Yes",0.998,0.911
"Yes",0.993,0.996
"No",0.936,0.942
"No",0.907,0.991
"No",0.925,0.907
"No",0.924,0.993
"No",0.934,0.997
"No",0.902,0.999
"Yes",0.979,0.985
"Yes",0.964,0.957
"No",0.96,0.928
"No",0.942,0.922
"No",0.904,0.936
"Yes",0.974,0.95
"Yes",0.976,0.94
"No",0.917,0.934
"No",0.953,0.976
"No",0.902,0.962
"No",0.923,0.965
"No",0.91,0.945
"Yes",0.991,0.913
"No",0.931,0.992
"No",0.929,0.954
"Yes",0.988,0.928
"No",0.935,0.969
"No",0.944,0.977
"No",0.941,0.98
"No",0.92,0.962
"No",0.912,0.963
"Yes",0.966,0.961
"Yes",0.976,0.914
"Yes",0.985,0.954
"Yes",0.985,0.908
"Yes",0.965,0.996
"No",0.922,0.938
"Yes",0.999,0.929
"No",0.948,0.916
"No",0.92,0.913
"No",0.902,0.997
"Yes",0.978,0.947
"No",0.952,0.984
"Yes",0.982,0.954
"Yes",0.965,0.961
"No",0.918,0.959
"No",0.939,0.979
"No",0.956,0.955
"Yes",0.972,0.905
"No",0.948,0.967
"Yes",0.999,0.962
"No",0.92,0.952
"No",0.952,0.962
"No",0.917,0.975
"No",0.936,0.928
"No",0.939,0.983
"Yes",0.997,0.968
"Yes",0.972,0.956
"No",0.956,1
"No",0.904,0.93
"Yes",0.964,0.955
"Yes",0.991,0.909
"No",0.927,0.957
"No",0.94,0.917
"No",0.936,0.923
"No",0.914,0.904
"Yes",0.962,0.954
"No",0.957,0.998
"No",0.917,0.976
"No",0.943,0.978
"Yes",0.969,0.968
"Yes",0.978,0.96
"Yes",0.97,0.947
"Yes",0.961,0.993
"No",0.904,0.981
"No",0.958,0.972
"No",0.944,0.977
"No",0.913,0.992
"Yes",0.997,0.941
"Yes",0.994,0.991
"Yes",0.979,0.977
"No",0.95,0.904
"No",0.913,0.961
"Yes",0.968,0.907
"No",0.934,0.914
"Yes",0.999,0.919
"Yes",0.971,0.983
"Yes",0.972,0.999
"Yes",0.988,0.995
"No",0.918,0.96
